year,region,attack_type,target_type,weapon_type,incidents,killed,wounded,success_rate
1972,North America,Assassination,Violent Political Party,Firearms,1,1,0,1.0
1972,North America,Bombing/Explosion,Business,Explosives,23,1,15,0.6521739130434783
1972,North America,Bombing/Explosion,Educational Institution,Explosives,3,0,2,0.6666666666666666
1972,North America,Bombing/Explosion,Government (Diplomatic),Explosives,3,0,0,0.6666666666666666
1972,North America,Bombing/Explosion,Government (General),Explosives,3,1,7,1.0
1972,North America,Bombing/Explosion,Military,Explosives,1,0,0,1.0
1972,North America,Bombing/Explosion,Police,Explosives,2,0,0,1.0
1972,North America,Bombing/Explosion,Private Citizens & Property,Explosives,5,0,0,0.6
1972,North America,Facility/Infrastructure Attack,Business,Incendiary,7,1,10,1.0
1972,North America,Facility/Infrastructure Attack,Educational Institution,Incendiary,2,0,0,1.0
1972,North America,Facility/Infrastructure Attack,Military,Incendiary,2,0,1,1.0
1972,North America,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,2,0,0,0.5
1972,North America,Facility/Infrastructure Attack,Private Citizens & Property,Unknown,1,0,0,1.0
1972,North America,Facility/Infrastructure Attack,Tourists,Incendiary,1,0,0,1.0
1972,North America,Hijacking,Airports & Aircraft,Fake Weapons,1,0,0,1.0
1972,North America,Hijacking,Airports & Aircraft,Firearms,1,0,0,1.0
1972,North America,Hijacking,Airports & Aircraft,Unknown,1,0,0,1.0
1972,North America,Hostage Taking (Barricade Incident),Business,Firearms,2,0,1,1.0
1972,North America,Hostage Taking (Kidnapping),Business,Firearms,1,0,0,1.0
1972,South America,Armed Assault,Military,Firearms,2,0,1,0.5
1972,South America,Armed Assault,Private Citizens & Property,Firearms,1,0,0,1.0
1972,South America,Assassination,Government (Diplomatic),Explosives,7,0,0,0.0
1972,South America,Assassination,Government (Diplomatic),Firearms,1,1,0,1.0
1972,South America,Assassination,Military,Firearms,2,2,0,1.0
1972,South America,Assassination,Private Citizens & Property,Explosives,6,0,0,0.0
1972,South America,Assassination,Private Citizens & Property,Firearms,1,1,0,0.0
1972,South America,Bombing/Explosion,Business,Explosives,8,1,0,1.0
1972,South America,Hostage Taking (Kidnapping),Business,Unknown,3,1,0,1.0
1972,South America,Hostage Taking (Kidnapping),Educational Institution,Unknown,1,0,0,1.0
1972,South America,Hostage Taking (Kidnapping),Journalists & Media,Unknown,1,0,0,1.0
1972,South Asia,Hijacking,Airports & Aircraft,Explosives,1,0,0,1.0
1972,Southeast Asia,Armed Assault,Military,Firearms,4,2,1,1.0
1972,Southeast Asia,Armed Assault,Police,Firearms,1,0,0,1.0
1972,Southeast Asia,Assassination,Government (Diplomatic),Explosives,7,1,0,0.14285714285714285
1972,Southeast Asia,Bombing/Explosion,Airports & Aircraft,Explosives,2,81,0,1.0
1972,Southeast Asia,Bombing/Explosion,Business,Explosives,1,0,0,0.0
1972,Southeast Asia,Hostage Taking (Barricade Incident),Government (Diplomatic),Firearms,1,0,0,1.0
1972,Sub-Saharan Africa,Assassination,Government (Diplomatic),Explosives,4,0,0,0.0
1972,Western Europe,Armed Assault,Business,Firearms,5,0,0,1.0
1972,Western Europe,Armed Assault,Military,Firearms,31,33,0,0.967741935483871
